PRUEBA	PRECIO	SUCURSAL	DOLARES	ACTIVO	DESCRIPCION	AXAPTA	AS400
00000091	175	HI	0	1	CONTEO DE LEUCOCITOS EN HECES	91	91
00000092	350	HI	0	1	CONTEO DE LEUCOCITOS EN HECES X 2	92	92
00000093	525	HI	0	1	CONTEO DE LEUCOCITOS EN HECES X 3	93	93
00000098	185	HI	0	1	COPROLOGICO	98	98
00000099	370	HI	0	1	COPROLOGICO X 2	99	99
00000100	555	HI	0	1	COPROLOGICO X 3	100	100
00000107	200	HI	0	1	CO2	107	107
00000109	185	HI	0	1	CREATININA	109	109
00000110	185	HI	0	1	CREATININA EN ORINA	110	110
00000111	175	HI	0	1	CRIOAGLUTININAS	111	111
00000112	360	HI	0	1	ESTRADIOL (E2)	112	112
00000122	485	HI	0	1	CULTIVO DE: CAMPYLOBACTER EN HECES	122	122
00000124	280	HI	0	1	CULTIVO DE: FARINGE	124	124
00000128	315	HI	0	1	CULTIVO DE: HERIDAS PROFUNDAS	128	128
00000141	450	HI	0	1	CYTOMEGALOVIRUS-IGG	141	141
00000142	675	HI	0	1	CYTOMEGALOVIRUS-IGM	142	142
00000143	315	HI	0	1	C3	143	143
00000144	315	HI	0	1	C4	144	144
00000145	1800	HI	0	1	D-XYLOSA ADULTOS	145	145
00000146	1800	HI	0	1	D-XYLOSA NIÑOS	146	146
00000147	225	HI	0	1	DEPURACION DE CREATININA	147	147
00000148	210	HI	0	1	DIGESTION MATERIAS FECALES	148	148
00000149	350	HI	0	1	DIGOXINA	149	149
00000150	345	HI	0	1	LH	150	150
00000151	400	HI	0	1	E.DE HEMOG.ACIDA	151	151
00000152	275	HI	0	1	E.DE HEMOGLOBINAS	152	152
00000153	380	HI	0	1	E.DE LIPOPROTEINAS	153	153
00000156	650	HI	0	1	ELECT.DE LCR	156	156
00000157	650	HI	0	1	ELECT.DE ORINA	157	157
00000158	275	HI	0	1	ELECT.DE PROTEINAS	158	158
00000160	765	HI	0	1	ELECTROLITOS EN ORINA	160	160
00000161	200	HI	0	1	EOSINOFILOS	161	161
00000162	185	HI	0	1	EOSINOFILOS EN SEC. NASAL	162	162
00000165	195	HI	0	1	ERITRO	165	165
00000166	350	HI	0	1	TIROGLOBULINA	166	166
00000169	375	HI	0	1	ESTROGENOS TOTALES	169	169
00000173	280	HI	0	1	ESTUDIO LIQ. CEFALORRAQUIDEO	173	173
00000174	280	HI	0	1	ESTUDIO LIQ. PERICARDICO	174	174
00000178	380	HI	0	1	ESTUDIO LIQUIDO ASCITICO	178	178
00000179	280	HI	0	1	ESTUDIO LIQUIDO PERITONEAL	179	179
00000180	280	HI	0	1	ESTUDIO LIQUIDO PLEURAL	180	180
00000181	280	HI	0	1	ESTUDIO LIQUIDO SINOVIAL	181	181
00000183	175	HI	0	1	EXTENDIDOS GRAL	183	183
00000185	255	HI	0	1	FALCEMIA	185	185
00000186	350	HI	0	1	FENOBARBITAL	186	186
00000187	400	HI	0	1	FERRITINA	187	187
00000188	325	HI	0	1	FIBRINOGENO	188	188
00000189	245	HI	0	1	FILARIAS	189	189
00000190	300	HI	0	1	FOSFATASA ACIDA	190	190
00000191	325	HI	0	1	FOSFATASA ACIDA PROSTATICA	191	191
00000192	185	HI	0	1	FOSFATASA ALCALINA	192	192
00000193	325	HI	0	1	FOSFOLIPIDOS	193	193
00000194	185	HI	0	1	FOSFORO	194	194
00000195	185	HI	0	1	FOSFORO EN ORINA	195	195
00000196	195	HI	0	1	FRAGILIDAD CAPILAR	196	196
00000197	225	HI	0	1	FRAGILIDAD ERITROCITICA	197	197
00000199	200	HI	0	1	FROTIS SANGRE PERIFERICA	199	199
00000200	190	HI	0	1	FRUCTOSA EN SEMEN	200	200
00000201	560	HI	0	1	FRUCTOSAMINA	201	201
00000202	345	HI	0	1	FSH	202	202
00000205	185	HI	0	1	GGPT	205	205
00000206	185	HI	0	1	GLUCOSA	206	206
00000208	600	HI	0	1	GLUCOSA CURVA 2 HRS	208	208
00000212	750	HI	0	1	GLUCOSA CURVA 4 HRS	212	212
00000214	800	HI	0	1	GLUCOSA CURVA 5 HRS	214	214
00000216	185	HI	0	1	GLUCOSA PP	216	216
00000217	300	HI	0	1	GLUCOSA PP CON GLUCOLA	217	217
00000218	700	HI	0	1	GLUCOSA-6-FOSFATO	218	218
00000219	180	HI	0	1	GLUCOSURIA	219	219
00000220	345	HI	0	1	GONADOTROPINA CORIONICA	220	220
00000221	175	HI	0	1	GRASAS EN HECES	221	221
00000222	390	HI	0	1	H. PYLORI	222	222
00000223	515	HI	0	1	HBE AG	223	223
00000224	200	HI	0	1	HEMATOCRITO	224	224
00000225	200	HI	0	1	HEMATOCRITO Y HEMOGLOBINA	225	225
00000226	185	HI	0	1	HEMATOZOARIOS	226	226
00000230	275	HI	0	1	HEMOGLOBINA GLICOSILADA	230	230
00000231	200	HI	0	1	HEMOGRAMA	231	231
00000232	360	HI	0	1	HEPATITIS C	232	232
00000235	200	HI	0	1	HIERRO	235	235
00000236	325	HI	0	1	HIV-1 Y 2 RAPIDO	236	236
00000241	1300	HI	0	1	HTLV-1	241	241
00000242	300	HI	0	1	IGA	242	242
00000243	335	HI	0	1	IGE	243	243
00000244	300	HI	0	1	IGG	244	244
00000245	300	HI	0	1	IGM	245	245
00000246	2900	HI	0	1	INMUNOFIJACION	246	246
00000248	225	HI	0	1	INV. AMEBAS	248	248
00000251	450	HI	0	1	INV. DE AMEBAS X 2	251	251
00000252	185	HI	0	1	INV. DE OXIUROS	252	252
00000253	185	HI	0	1	INV. DE SCHISTOSOMA MANSONI	253	253
00000255	190	HI	0	1	LDH	255	255
00000257	190	HI	0	1	LIPASA	257	257
00000259	200	HI	0	1	LITIO	259	259
00000260	200	HI	0	1	MAGNESIO	260	260
00000261	300	HI	0	1	MARIHUANA	261	261
00000262	265	HI	0	1	MICROALBUMINA	262	262
00000263	210	HI	0	1	MONOTEST	263	263
00000267	330	HI	0	1	OPIATOS	267	267
00000270	160	HI	0	1	PH EN MATERIA FECAL	270	270
00000271	160	HI	0	1	PH EN ORINA	271	271
00000273	185	HI	0	1	POTASIO	273	273
00000274	185	HI	0	1	POTASIO EN ORINA	274	274
00000275	185	HI	0	1	POTASIO EN ORINA 24 HRS	275	275
00000277	350	HI	0	1	PROGESTERONA	277	277
00000278	350	HI	0	1	PROLACTINA	278	278
00000279	160	HI	0	1	PROTEINA BENCE JONES	279	279
00000280	200	HI	0	1	PROTEINA C REACTIVA	280	280
00000281	200	HI	0	1	PROTEINAS LCR	281	281
00000282	200	HI	0	1	PROTEINAS T. ORINA	282	282
00000283	225	HI	0	1	PROTEINAS TOTALES	283	283
00000284	220	HI	0	1	PRUEBA EMBARAZO ORINA	284	284
00000285	350	HI	0	1	PSA	285	285
00000287	180	HI	0	1	RETICULOCITOS	287	287
00000288	150	HI	0	1	RETRACCION COAGULO	288	288
00000289	550	HI	0	1	ROTAVIRUS	289	289
00000290	500	HI	0	1	RUBELLA IGG	290	290
00000291	670	HI	0	1	RUBELLA IGM	291	291
00000292	185	HI	0	1	S. G. O. T.	292	292
00000293	185	HI	0	1	S. G. P. T.	293	293
00000294	165	HI	0	1	SANGRE OCULTA	294	294
00000298	185	HI	0	1	SODIO	298	298
00000299	185	HI	0	1	SODIO EN ORINA	299	299
00000300	185	HI	0	1	SODIO EN ORINA 24 HRS	300	300
00000302	185	HI	0	1	SUSTANCIAS REDUCTORAS	302	302
00000303	175	HI	0	1	TC	303	303
00000304	360	HI	0	1	TEGRETOL	304	304
00000305	290	HI	0	1	TEOFILINA	305	305
00000306	180	HI	0	1	TEST DE COOMBS DIRECTO	306	306
00000309	220	HI	0	1	TEST GLUTARALDEHIDO	309	309
00000310	350	HI	0	1	TESTOSTERONA	310	310
00000313	160	HI	0	1	TINTA CHINA	313	313
00000314	210	HI	0	1	TIPIFICACION	314	314
00000315	250	HI	0	1	TOMA DE MUESTRA DOMICILIO	315	315
00000316	355	HI	0	1	TOXO IGG POR EIA	316	316
00000317	355	HI	0	1	TOXO IGM POR EIA	317	317
00000318	250	HI	0	1	TP	318	318
00000319	185	HI	0	1	TRIGLICERIDOS	319	319
00000320	160	HI	0	1	TRIPSINA EN HECES	320	320
00000321	175	HI	0	1	TS	321	321
00000322	300	HI	0	1	TSH	322	322
00000323	260	HI	0	1	TTP	323	323
00000324	300	HI	0	1	T3	324	324
00000326	300	HI	0	1	T4	326	326
00000327	300	HI	0	1	T4 LIBRE	327	327
00000328	185	HI	0	1	UREA	328	328
00000335	190	HI	0	1	VDRL EN LCR	335	335
00000336	425	HI	0	1	VITAMINA B12	336	336
00000337	200	HI	0	1	VLDL	337	337
00000338	1300	HI	0	1	VMA	338	338
00000339	3000	HI	0	1	WESTERN BLOT	339	339
00000341	2200	HI	0	1	17-CETOS	341	341
00000342	2500	HI	0	1	17-OH	342	342
00000346	190	HI	0	1	LDH LCR	346	346
00000347	200	HI	0	1	PLAQUETAS (CAMARA)	347	347
00000350	195	HI	0	1	CLORO LCR	350	350
00000352	300	HI	0	1	ALFA-AMILASA PANCREATICA	352	352
00000354	350	HI	0	1	DILANTIN (PHENYTOIN)	354	354
00000355	465	HI	0	1	ESPERMATOGRAMA COMPLETO	355	355
00000358	545	HI	0	1	ACIDO VALPROICO (DEPAKENE)	358	358
00000361	270	HI	0	1	TEST DE COOMBS IND.	361	361
00000362	675	HI	0	1	INV. DE AMEBAS X 3	362	362
00000363	325	HI	0	1	CULTIVO DE: SEC. OIDO	363	363
00000364	300	HI	0	1	CULTIVO DE: ORINA	364	364
00000365	305	HI	0	1	CULTIVO DE: LIQUIDO CEFALORRAQUIDEO	365	365
00000367	315	HI	0	1	CULTIVO DE: HERIDAS SUPERFICIALES	367	367
00000368	395	HI	0	1	CULTIVO DE: HECES	368	368
00000369	325	HI	0	1	CULTIVO DE: SEC. VAGINAL	369	369
00000372	310	HI	0	1	CULTIVO DE: SEMEN	372	372
00000377	200	HI	0	1	CALCIO EN ORINA	377	377
00000378	200	HI	0	1	C-VLDL	378	378
00000380	200	HI	0	1	PROTEINAS TOTALES EN ORINA CASUAL	380	380
00000382	50	HI	0	1	TOMA DOMICILIO ADICIONAL	382	382
00000383	250	HI	0	1	COPROLOGICO-INVEST. AMEBAS	383	383
00000384	190	HI	0	1	R. P. R.	384	384
00000389	185	HI	0	1	EOSINOFILOS EN ESPUTO	389	389
00000390	500	HI	0	1	CA 125	390	390
00000394	235	HI	0	1	ASO LATEX	394	394
00000396	195	HI	0	1	F. REUMATOIDE LATEX	396	396
00000403	1000	HI	0	1	VARICELLA ZOSTER IGG	403	403
00000404	1100	HI	0	1	VARICELLA ZOSTER IGM	404	404
00000417	265	HI	0	1	ASO CUANTITATIVA	417	417
00000418	290	HI	0	1	FR CUANTITATIVO	418	418
00000419	525	HI	0	1	CERULOPLASMINA	419	419
00000422	235	HI	0	1	PCR CUANTITATIVA	422	422
00000423	350	HI	0	1	CORTISOL EN SUERO AM	423	423
00000425	350	HI	0	1	CORTISOL EN SUERO PM	425	425
00000426	650	HI	0	1	TRANSFERRINA	426	426
00000433	175	HI	0	1	IDENTIFICACION DE PARASITO	433	433
00000439	260	HI	0	1	BACILOSCOPIA ESPUTO	439	439
00000442	315	HI	0	1	CULTIVO DE: ESPUTO	442	442
00000443	875	HI	0	1	ESTRIOL (UE3)	443	443
00000445	220	HI	0	1	BHCG EN SUERO CUALITATIVA	445	445
00000450	190	HI	0	1	LDH EN LIQ. PLEURAL	450	450
00000454	600	HI	0	1	PANEL 2	454	454
00000461	430	HI	0	1	HORMONA CRECIMIENTO BASAL	461	461
00000462	430	HI	0	1	HORMONA CRECIMIENTO POST	462	462
00000464	200	HI	0	1	PREPARACION DE KOH	464	464
00000467	440	HI	0	1	EPSTEIN BARR-VCA IGM	467	467
00000472	800	HI	0	1	HERPES I Y II IGM	472	472
00002820	550	HI	0	1	ALERGENO DE : BASE 1	495	495
00002821	550	HI	0	1	ALERGENO DE : BASE 2	496	496
00002824	600	HI	0	1	HERPES I Y II IGG	505	505
00002825	640	HI	0	1	DENGUE IGG POR EIA	506	506
00002826	640	HI	0	1	DENGUE IGM POR EIA	507	507
00002827	950	HI	0	1	ANTIGENO P24	509	509
00002828	680	HI	0	1	PLOMO	511	511
00002829	600	HI	0	1	CULTIVO DE: ESPUTO PARA BK Y SENSIBILIDAD	515	515
00002830	385	HI	0	1	ANTI-HBC	516	516
00002831	550	HI	0	1	PSA LIBRE Y TOTAL	524	524
00002832	520	HI	0	1	CA 19-9	525	525
00002833	980	HI	0	1	ACTH	528	528
00002834	465	HI	0	1	DHEA-SO4	529	529
00002835	600	HI	0	1	ESTREPTOCOCO A RAPIDO	533	533
00002836	1100	HI	0	1	PTH INTACTA	534	534
00002837	475	HI	0	1	ANDROSTENEDIONA	535	535
00002838	1900	HI	0	1	PDF	536	536
00002839	600	HI	0	1	DIMERO D	538	538
00002840	3000	HI	0	1	"IGG SUBCLASES 1, 2, 3, 4"	540	540
00002841	570	HI	0	1	TROPONINA I	549	549
00002842	1215	HI	0	1	CURVA DE INSULINA 2 HRS	550	550
00002843	1400	HI	0	1	CURVA DE INSULINA 3 HRS	551	551
00002844	1640	HI	0	1	CURVA DE INSULINA 4 HRS	552	552
00002845	1845	HI	0	1	CURVA DE INSULINA 5 HRS	553	553
00002846	190	HI	0	1	COLESTEROL LIQ. ASCITICO	555	555
00002847	290	HI	0	1	FR LIQ. ASCITICO	557	557
00002848	560	HI	0	1	CULTIVO DE: SANGRE AEROBICO	560	560
00002849	770	HI	0	1	CULTIVO DE: SANGRE ANAEROBICO	562	562
00002850	330	HI	0	1	CULTIVO DE: FLUIDOS ESTERILES	564	564
00002851	125	HI	0	1	KIT DE COLECCION CLAMIDIA	565	565
00002852	260	HI	0	1	BACILOSCOPIA EN HECES	571	571
00002853	780	HI	0	1	BACILOSCOPIA EN HECES X 3	572	572
00002854	1700	HI	0	1	ANTIGENO DE H. PYLORI EN HECES	575	575
00002855	900	HI	0	1	ARN-CHLAMYDIA T.	576	576
00002856	185	HI	0	1	INV. PARASITOS ASPIRADO DUODENAL	582	582
00002857	310	HI	0	1	CULTIVO DE: UÑAS	589	589
00002858	260	HI	0	1	BACILOSCOPIA EN TEJIDO	593	593
00002860	950	HI	0	1	TROPONINA CUALITATIVA RAPIDA	600	600
00002861	325	HI	0	1	FOSFATASA ACIDA NO PROSTATICA	604	604
00002862	1100	HI	0	1	PANEL CARDIACO	608	608
00002864	175	HI	0	1	CONTEO DE LEUCOCITOS EN ESPUTO	611	611
00002865	385	HI	0	1	ANTI-HAV	614	614
00002866	175	HI	0	1	SCOCH TAPE	619	619
00002867	590	HI	0	1	NICOTINA	620	620
00002871	200	HI	0	1	C-LDL	640	640
00002873	300	HI	0	1	CULTIVO DE: AREA	657	657
00002874	185	HI	0	1	EOSINOFILOS SEC. FARINGE	658	658
00002875	280	HI	0	1	CULTIVO DE: SEC. NASAL	663	663
00002881	1400	HI	0	1	"GASES ARTERIALES, NA,K,CL,CO2,CA IONICO"	676	676
00002884	330	HI	0	1	ECSTASY (MDMA)	681	681
00002887	280	HI	0	1	TUBERCULINA (MANTOUX)	684	684
00002888	390	HI	0	1	INSULINA POST	687	687
00002889	390	HI	0	1	INSULINA BASAL	688	688
00002890	2200	HI	0	1	PANEL DE LINFOCITOS	692	692
00002901	190	HI	0	1	VDRL	704	704
00002902	830	HI	0	1	HOMOCISTEINA	706	706
00002908	1385	HI	0	1	CALCIO IONICO	721	721
00002909	2100	HI	0	1	NT-PRO BNP	722	722
00002910	380	HI	0	1	T3 LIBRE	723	723
00002911	575	HI	0	1	ANTI TIROGLOBULINAS	726	726
00002912	575	HI	0	1	ANTI TPO	727	727
00002913	1340	HI	0	1	SARAMPION IGG	729	729
00002914	1470	HI	0	1	SARAMPION IGM	730	730
00002915	900	HI	0	1	PAPERAS IGG	731	731
00002916	925	HI	0	1	PAPERAS IGM	732	732
00002917	525	HI	0	1	LIPOPROTEINA A	734	734
00002919	1350	HI	0	1	AG. CRYPTOSPORIDIUM Y GIARDIA	737	737
00002920	300	HI	0	1	INVESTIGACION DE COCCIDIA	740	740
00002924	550	HI	0	1	APOLIPOPROTEINA B	746	746
00002925	550	HI	0	1	APOLIPOPROTEINA A1	747	747
00002926	900	HI	0	1	CULTIVO DE: SEC. ABSCESO ANAEROBIO	748	748
00002927	1200	HI	0	1	PEPTIDO C	749	749
00002928	750	HI	0	1	DENGUE RAPIDO	750	750
00002929	850	HI	0	1	N-TX	751	751
00002933	310	HI	0	1	ANFETAMINAS	756	756
00002935	3650	HI	0	1	NEISSERIA G/CHLAMYDIA T. ENDOCERVICAL	760	760
00002936	3750	HI	0	1	NEISSERIA G/CHLAMYDIA T. ORINA	761	761
00002937	1400	HI	0	1	OSTEOCALCINA	762	762
00002938	1900	HI	0	1	AG. ENTAMOEBA HISTOLYTICA	763	763
00002940	350	HI	0	1	PCP	768	768
00002941	1200	HI	0	1	PANEL PREVENTIVO HOGAR	769	769
00002942	185	HI	0	1	UROANALISIS	776	776
00002943	700	HI	0	1	MYCOPLASMA PNEUMONIAE IGM	777	777
00002945	100	HI	0	1	TOMA DOMICILIO PARCIAL	779	779
00002946	370	HI	0	1	UROANALISIS X 2	780	780
00002947	555	HI	0	1	UROANALISIS X 3	781	781
00002952	1200	HI	0	1	PEPTIDO C POST	787	787
00002953	390	HI	0	1	CULTIVO DE: SEC. URETRAL	790	790
00002954	2200	HI	0	1	PANEL AUTOINMUNE	791	791
00002955	260	HI	0	1	BACILOSCOPIA EN SANGRE	795	795
00002956	195	HI	0	1	CLORO EN ORINA	799	799
00002957	1100	HI	0	1	CLOSTRIDIUM DIFFICILE TOXINA A/B	800	800
00002959	185	HI	0	1	EOSINOFILOS EN SEC. OCULAR	807	807
00002961	3650	HI	0	1	NEISSERIA G/CHLAMYDIA T. URETRAL	811	811
00002962	350	HI	0	1	CORTISOL PLASMATICO AM	814	814
00002963	350	HI	0	1	CORTISOL PLASMATICO PM	815	815
00002964	400	HI	0	1	TOMA DOMICILIO ESPECIAL	820	820
00002965	65	HI	0	1	ENVASE COLECCION MATERIA FECAL	822	822
00002966	130	HI	0	1	ENVASE COLECCION MATERIA FECAL X 2	823	823
00002967	195	HI	0	1	ENVASE COLECCION MATERIA FECAL X 3	824	824
00002968	65	HI	0	1	TRANSCUL PARA URETRA	825	825
00002971	1900	HI	0	1	PROTEINA C	828	828
00002972	1900	HI	0	1	PROTEINA S	829	829
00002973	1100	HI	0	1	ANTI TROMBINA III	830	830
00002974	1000	HI	0	1	LUPUS ANTICOAGULANT	831	831
00002975	800	HI	0	1	TIEMPO DE TROMBINA (TT)	832	832
00002977	970	HI	0	1	17 HIDROXI-PROGESTERONA	836	836
00002978	1600	HI	0	1	PEPTIDOS CICLICOS CITRULINADOS	837	837
00002981	3000	HI	0	1	VIRUS DEL PAPILOMA H.	840	840
00002984	315	HI	0	1	CULTIVO DE: DISPOSITIVOS	847	847
00002986	280	HI	0	1	CULTIVO DE: SEC. OCULAR	849	849
00002987	320	HI	0	1	MALARIA EN SUERO	850	850
00002988	1600	HI	0	1	PANEL EPSTEIN BARR-IGG	851	851
00002989	195	HI	0	1	UREA EN ORINA	853	853
00002992	300	HI	0	1	PANEL MEDICARD	858	858
00002993	500	HI	0	1	PANEL MEDICARD GOLD	859	859
00002995	4500	HI	0	1	CYTOMEGALOVIRUS DNA-PCR	866	866
00002996	5300	HI	0	1	HEPATITIS C PCR EN TIEMPO REAL	869	869
00002997	5300	HI	0	1	HEPATITIS B PCR EN TIEMPO REAL	870	870
00002998	5200	HI	0	1	HIV PCR EN TIEMPO REAL	871	871
00003004	535	HI	0	1	ALCOHOL EN SALIVA	882	882
00003006	810	HI	0	1	DENGUE ANTIGENO	884	884
00003007	950	HI	0	1	LEPTOSPIRA IGM	885	885
00003008	2000	HI	0	1	FACTOR V	886	886
00003010	175	HI	0	1	DISMORFIA ERITROCITICA	890	890
00003011	1200	HI	0	1	SHIGA TOXIN (EHEC)	892	892
00003012	2000	HI	0	1	FACTOR VIII	895	895
00003014	1200	HI	0	1	BETA CROSS LAPS	898	898
00003248	500	HI	0	1	VANCOMICINA	900	900
00003249	500	HI	0	1	GENTAMICINA	901	901
00003250	625	HI	0	1	LEUKO-TEST EN HECES	904	904
00003652	2300	HI	0	1	FACTOR V DE LEIDEN	911	911
